"idno","district","gndr","agea","edu","wkhtot","income","stfdem","stfeco","trstprl","trstprt","trstplt","trstlgl","lrscale"
10074,"Distrikt 1","female",66,"ES-ISCED IV",42,"4th decile",3,3,3,5,6,8,4
10075,"Distrikt 1","male",35,"ES-ISCED V",15,"8th decile",4,5,4,4,6,5,5
10076,"Distrikt 1","female",67,"ES-ISCED IV",45,"4th decile",10,7,0,5,7,6,4
10077,"Distrikt 1","male",55,"ES-ISCED III",38,"6th decile",7,8,4,6,7,3,4
10078,"Distrikt 1","male",54,"ES-ISCED IV",7,"9th decile",6,4,1,7,3,7,9
10079,"Distrikt 1","male",66,"ES-ISCED II",39,"5th decile",3,5,7,4,7,3,5
10080,"Distrikt 1","female",48,"ES-ISCED IV",34,"6th decile",6,5,3,9,4,3,5
10081,"Distrikt 1","female",40,"ES-ISCED V",11,"7th decile",6,6,5,7,7,9,5
10082,"Distrikt 1","female",35,"ES-ISCED V",38,"7th decile",8,7,5,4,7,8,5
10083,"Distrikt 1","female",73,"ES-ISCED III",29,"6th decile",10,9,4,4,4,3,6
10084,"Distrikt 1","female",54,"ES-ISCED IV",17,"6th decile",3,5,7,7,5,6,5
10085,"Distrikt 1","female",70,"ES-ISCED II",46,"4th decile",9,6,5,8,4,3,3
10086,"Distrikt 1","male",56,"ES-ISCED II",33,"5th decile",7,5,10,8,4,3,4
10087,"Distrikt 1","female",69,"ES-ISCED IV",28,"6th decile",6,5,5,2,3,5,7
10088,"Distrikt 1","male",52,"ES-ISCED III",34,"6th decile",4,8,9,6,7,4,6
10089,"Distrikt 1","male",56,"ES-ISCED IV",29,"7th decile",4,6,2,0,2,5,9
10090,"Distrikt 1","male",68,"ES-ISCED IV",23,"9th decile",6,6,2,8,5,6,9
10091,"Distrikt 1","female",53,"ES-ISCED V",30,"7th decile",6,4,5,5,7,5,3
10092,"Distrikt 1","male",61,"ES-ISCED III",32,"6th decile",6,7,4,2,3,6,8
10093,"Distrikt 1","male",50,"ES-ISCED IV",34,"7th decile",6,6,2,6,5,3,5
10094,"Distrikt 1","male",61,"ES-ISCED IV",23,"9th decile",7,5,5,4,2,9,0
10095,"Distrikt 1","male",57,"ES-ISCED II",26,"6th decile",5,6,5,3,7,3,5
10096,"Distrikt 1","female",37,"ES-ISCED V",14,"7th decile",7,5,6,5,6,4,5
10097,"Distrikt 1","male",55,"ES-ISCED IV",44,"7th decile",6,5,5,6,9,5,6
10098,"Distrikt 1","female",56,"ES-ISCED III",44,"5th decile",7,8,6,7,5,6,5
10099,"Distrikt 1","female",53,NA,41,"7th decile",5,6,1,4,4,8,8
10100,"Distrikt 1","male",51,"ES-ISCED III",32,"6th decile",1,5,4,4,4,7,2
10101,"Distrikt 1","female",50,"ES-ISCED IV",31,"5th decile",5,6,4,5,6,4,1
10102,"Distrikt 1","female",52,"ES-ISCED V",19,"7th decile",NA,7,2,3,3,2,6
10103,"Distrikt 1","female",51,"ES-ISCED IV",26,"6th decile",3,5,4,7,5,4,3
10104,"Distrikt 1","female",56,"ES-ISCED III",34,"5th decile",NA,10,4,3,6,5,3
10105,"Distrikt 1","female",63,"ES-ISCED II",36,"4th decile",8,5,7,8,5,3,4
10106,"Distrikt 1","female",56,"ES-ISCED IV",28,"6th decile",4,5,4,1,3,4,6
10107,"Distrikt 1","male",32,"ES-ISCED III",35,"5th decile",5,6,3,2,4,5,4
10108,"Distrikt 1","female",47,"ES-ISCED IV",36,"5th decile",6,5,4,6,4,5,3
10109,"Distrikt 1","female",60,"ES-ISCED II",37,"3rd decile",4,5,4,5,3,3,3
10110,"Distrikt 1","female",24,NA,40,"8th decile",NA,10,4,4,6,8,1
10111,"Distrikt 1","male",47,"ES-ISCED IV",42,"7th decile",5,6,7,4,6,5,7
10112,"Distrikt 1","male",52,"ES-ISCED V",29,"9th decile",8,5,6,4,6,5,5
10113,"Distrikt 1","male",75,"ES-ISCED II",51,"5th decile",4,4,3,8,6,5,8
10114,"Distrikt 1","female",39,"ES-ISCED V",32,"6th decile",5,6,2,3,3,2,5
10115,"Distrikt 1","male",56,"ES-ISCED III",15,"8th decile",6,5,3,8,5,3,7
10116,"Distrikt 1","female",51,"ES-ISCED IV",38,"5th decile",2,4,5,7,5,0,8
10117,"Distrikt 1","female",75,"ES-ISCED III",40,"4th decile",6,5,1,3,5,6,4
10118,"Distrikt 1","female",76,"ES-ISCED III",36,"5th decile",4,6,2,5,4,5,6
10119,"Distrikt 1","male",61,"ES-ISCED III",36,"7th decile",4,7,1,3,3,2,8
10120,"Distrikt 1","female",39,"ES-ISCED V",26,"7th decile",5,3,4,7,8,6,5
10121,"Distrikt 1","male",60,"ES-ISCED IV",24,"8th decile",6,5,5,5,6,6,7
10122,"Distrikt 1","female",58,"ES-ISCED V",33,"6th decile",5,6,1,2,3,4,5
10123,"Distrikt 1","female",49,"ES-ISCED IV",38,"5th decile",5,7,3,5,2,4,4
10124,"Distrikt 1","male",42,"ES-ISCED V",30,"8th decile",6,6,4,5,6,7,4
10125,"Distrikt 1","female",48,NA,46,"7th decile",9,7,1,7,4,9,5
10126,"Distrikt 1","male",49,"ES-ISCED IV",39,"7th decile",5,4,7,3,6,3,6
10127,"Distrikt 1","male",41,"ES-ISCED IV",19,"8th decile",6,7,3,4,3,8,5
10128,"Distrikt 1","male",63,"ES-ISCED II",40,"3rd decile",2,3,7,10,9,4,5
10129,"Distrikt 1","female",51,"ES-ISCED IV",33,"5th decile",3,5,4,4,3,7,5
10130,"Distrikt 1","female",52,"ES-ISCED III",22,"4th decile",8,7,7,7,7,7,2
10131,"Distrikt 1","male",46,"ES-ISCED IV",38,"7th decile",8,6,3,7,6,7,6
10132,"Distrikt 1","female",54,"ES-ISCED IV",38,"5th decile",5,6,4,5,5,1,6
10133,"Distrikt 1","female",68,"ES-ISCED IV",37,"5th decile",1,2,5,6,4,6,6
10134,"Distrikt 1","female",56,"ES-ISCED III",13,"6th decile",1,4,6,5,3,6,5
10135,"Distrikt 1","female",42,"ES-ISCED IV",30,"6th decile",10,8,3,2,4,3,4
10136,"Distrikt 1","female",40,"ES-ISCED IV",37,"5th decile",5,5,6,6,4,5,5
10137,"Distrikt 1","female",57,"ES-ISCED V",31,"7th decile",5,4,7,6,5,6,5
10138,"Distrikt 1","male",56,"ES-ISCED IV",23,"9th decile",7,4,6,9,6,8,9
10139,"Distrikt 1","female",55,"ES-ISCED V",29,"7th decile",7,5,6,6,4,6,7
10140,"Distrikt 1","female",40,NA,26,"8th decile",6,4,1,2,2,2,5
10141,"Distrikt 1","female",45,"ES-ISCED IV",33,"5th decile",6,4,6,6,3,5,7
10142,"Distrikt 1","female",66,"ES-ISCED III",25,"4th decile",1,1,4,7,8,5,7
10143,"Distrikt 1","female",52,"ES-ISCED IV",39,"3rd decile",4,3,6,8,6,6,5
10144,"Distrikt 1","male",50,"ES-ISCED III",25,"7th decile",4,6,3,6,4,2,3
10145,"Distrikt 1","female",36,NA,37,"7th decile",7,5,5,7,4,6,7
10146,"Distrikt 1","male",80,"ES-ISCED II",29,"6th decile",5,8,3,5,5,7,4
10147,"Distrikt 1","male",53,"ES-ISCED III",27,"7th decile",5,8,7,8,6,9,4
10148,"Distrikt 1","male",46,"ES-ISCED IV",33,"9th decile",NA,9,6,6,5,6,4
10149,"Distrikt 1","male",60,"ES-ISCED V",19,"8th decile",8,6,1,5,4,5,6
10150,"Distrikt 1","female",76,"ES-ISCED II",25,"4th decile",9,6,1,6,6,1,7
10151,"Distrikt 1","male",54,"ES-ISCED IV",34,"7th decile",6,6,6,10,9,6,6
10152,"Distrikt 1","male",77,"ES-ISCED III",24,"7th decile",10,8,2,7,5,4,6
10153,"Distrikt 1","male",66,"ES-ISCED III",18,"6th decile",7,7,3,6,6,4,7
10154,"Distrikt 1","female",60,"ES-ISCED III",19,"4th decile",3,4,5,4,2,3,8
10155,"Distrikt 1","male",58,"ES-ISCED IV",30,"7th decile",2,5,2,4,5,4,5
10156,"Distrikt 1","male",59,"ES-ISCED II",39,"4th decile",4,5,1,4,9,5,5
10157,"Distrikt 1","male",42,"ES-ISCED III",32,"7th decile",6,7,10,NA,10,5,5
10158,"Distrikt 1","female",62,"ES-ISCED IV",27,"6th decile",4,3,2,4,3,7,4
10159,"Distrikt 1","male",61,"ES-ISCED III",35,"6th decile",9,8,5,4,4,5,7
10160,"Distrikt 1","male",60,"ES-ISCED II",30,"5th decile",5,7,5,6,6,6,7
10161,"Distrikt 1","male",51,"ES-ISCED V",35,"9th decile",NA,9,4,4,2,5,3
10162,"Distrikt 1","male",60,"ES-ISCED IV",31,"7th decile",4,5,3,3,6,2,6
10163,"Distrikt 1","male",47,"ES-ISCED III",35,"4th decile",3,3,6,6,3,7,6
10164,"Distrikt 1","male",66,"ES-ISCED III",16,"7th decile",7,8,3,4,6,6,7
10165,"Distrikt 1","male",67,"ES-ISCED II",20,"7th decile",8,5,5,5,7,5,7
10166,"Distrikt 1","female",57,"ES-ISCED III",30,"4th decile",2,2,6,8,6,4,4
10167,"Distrikt 1","male",62,"ES-ISCED IV",36,"7th decile",6,6,3,5,5,6,5
10168,"Distrikt 1","female",25,NA,32,"6th decile",1,3,5,4,6,6,4
10169,"Distrikt 1","male",81,"ES-ISCED III",21,"8th decile",8,8,3,7,6,4,10
10170,"Distrikt 1","female",58,"ES-ISCED III",23,"5th decile",3,3,5,NA,3,4,5
10171,"Distrikt 1","female",66,"ES-ISCED IV",34,"5th decile",5,4,6,7,6,4,5
10172,"Distrikt 1","female",72,"ES-ISCED III",23,"4th decile",5,6,5,2,7,3,5
10173,"Distrikt 1","male",46,"ES-ISCED V",35,"10th decile",4,6,6,5,8,6,5
10174,"Distrikt 1","female",64,"ES-ISCED V",36,"6th decile",8,6,4,5,4,4,7
10175,"Distrikt 1","male",68,"ES-ISCED IV",36,"8th decile",8,6,6,7,5,5,4
10176,"Distrikt 1","male",39,"ES-ISCED III",38,"5th decile",4,4,6,6,3,4,2
10177,"Distrikt 1","female",59,"ES-ISCED IV",25,"6th decile",6,4,4,5,9,6,3
10178,"Distrikt 1","female",49,"ES-ISCED IV",33,"5th decile",5,6,3,4,4,4,2
10179,"Distrikt 1","male",54,"ES-ISCED III",34,"6th decile",6,6,3,2,4,4,3
10180,"Distrikt 1","female",58,"ES-ISCED III",42,"5th decile",0,0,7,5,8,5,4
10181,"Distrikt 1","male",33,"ES-ISCED IV",14,"8th decile",4,6,5,6,8,4,6
10182,"Distrikt 1","female",80,"ES-ISCED III",41,"5th decile",6,7,3,8,4,6,NA
10183,"Distrikt 1","male",58,"ES-ISCED IV",30,"8th decile",4,4,6,3,5,5,7
10184,"Distrikt 1","female",70,"ES-ISCED IV",46,"5th decile",NA,10,3,4,5,4,10
10185,"Distrikt 1","female",48,"ES-ISCED IV",45,"5th decile",6,5,5,7,4,4,5
10186,"Distrikt 1","male",36,"ES-ISCED V",32,"8th decile",2,6,6,8,7,6,5
10187,"Distrikt 1","male",52,"ES-ISCED IV",30,"8th decile",NA,8,6,5,7,3,3
10188,"Distrikt 1","male",77,"ES-ISCED I",22,"3rd decile",3,5,6,5,6,6,4
10189,"Distrikt 1","male",45,"ES-ISCED IV",18,"7th decile",3,2,2,5,3,7,4
10190,"Distrikt 1","male",39,"ES-ISCED IV",24,"8th decile",7,7,8,6,4,7,9
10191,"Distrikt 1","female",51,"ES-ISCED IV",28,"6th decile",8,6,0,6,9,4,5
10192,"Distrikt 1","female",41,"ES-ISCED V",33,"6th decile",5,4,2,3,6,5,1
10193,"Distrikt 1","female",53,"ES-ISCED V",13,"7th decile",6,5,5,7,8,3,6
10194,"Distrikt 1","female",48,"ES-ISCED IV",33,"5th decile",6,6,3,3,5,3,5
10195,"Distrikt 1","female",60,"ES-ISCED III",35,"3rd decile",5,5,5,4,5,3,5
10196,"Distrikt 1","male",68,"ES-ISCED III",34,"7th decile",4,5,3,6,1,4,6
10197,"Distrikt 1","male",54,"ES-ISCED IV",34,"7th decile",4,3,5,6,5,5,8
10198,"Distrikt 1","female",44,"ES-ISCED III",35,"3rd decile",2,4,4,7,6,3,3
10199,"Distrikt 1","male",58,"ES-ISCED III",39,"5th decile",6,5,6,4,4,5,8
10200,"Distrikt 1","female",54,"ES-ISCED IV",32,"6th decile",7,5,5,7,7,3,6
10201,"Distrikt 1","female",78,"ES-ISCED I",32,"2nd decile",4,7,5,6,7,5,7
10202,"Distrikt 1","female",64,"ES-ISCED III",35,"5th decile",4,6,6,3,7,3,5
10203,"Distrikt 1","male",65,"ES-ISCED III",32,"7th decile",7,6,8,5,9,6,5
10204,"Distrikt 1","male",48,"ES-ISCED V",25,"9th decile",7,6,4,7,6,3,5
10205,"Distrikt 1","female",65,"ES-ISCED IV",23,"8th decile",7,8,3,6,6,1,4
10206,"Distrikt 1","female",55,"ES-ISCED III",30,"5th decile",4,5,4,3,2,6,6
10207,"Distrikt 1","female",58,"ES-ISCED IV",41,"5th decile",6,5,8,7,7,5,6
10208,"Distrikt 1","male",32,"ES-ISCED IV",26,"6th decile",6,5,5,2,3,5,9
10209,"Distrikt 1","female",47,"ES-ISCED IV",24,"6th decile",5,6,3,6,2,6,4
10210,"Distrikt 1","male",71,"ES-ISCED III",37,"6th decile",8,8,2,1,3,6,3
10211,"Distrikt 1","female",40,"ES-ISCED III",32,"4th decile",7,5,8,5,4,7,7
10212,"Distrikt 1","male",36,"ES-ISCED IV",38,"8th decile",7,8,3,5,7,5,4
10213,"Distrikt 1","female",78,"ES-ISCED III",25,"5th decile",6,5,5,6,3,4,6
10214,"Distrikt 1","female",62,"ES-ISCED III",35,"5th decile",4,6,5,6,5,4,1
10215,"Distrikt 1","male",41,"ES-ISCED III",29,"6th decile",3,5,8,8,7,6,5
10216,"Distrikt 1","male",44,"ES-ISCED V",23,"9th decile",10,8,3,8,6,8,2
10217,"Distrikt 1","male",48,"ES-ISCED IV",34,"7th decile",7,8,4,5,7,5,6
10218,"Distrikt 1","female",58,"ES-ISCED III",17,"6th decile",7,6,4,2,1,2,3
10219,"Distrikt 1","female",64,"ES-ISCED III",44,"4th decile",0,1,4,7,10,4,1
10220,"Distrikt 1","male",56,"ES-ISCED IV",25,"7th decile",7,8,6,6,8,8,4
10221,"Distrikt 1","female",55,"ES-ISCED IV",42,"5th decile",4,4,3,7,6,7,4
10222,"Distrikt 1","male",42,"ES-ISCED IV",38,"6th decile",7,5,4,6,5,3,4
10223,"Distrikt 1","female",52,"ES-ISCED IV",38,"5th decile",1,4,9,4,4,5,5
10224,"Distrikt 1","female",54,"ES-ISCED IV",31,"5th decile",3,3,6,4,3,6,5
10225,"Distrikt 1","female",62,"ES-ISCED V",28,"8th decile",8,6,6,4,4,6,5
10226,"Distrikt 1","male",47,"ES-ISCED IV",27,"9th decile",8,7,5,5,2,5,6
10227,"Distrikt 1","female",48,"ES-ISCED IV",24,"5th decile",1,5,2,8,5,4,6
10228,"Distrikt 1","female",56,"ES-ISCED III",35,"4th decile",6,4,7,7,6,4,5
10229,"Distrikt 1","male",51,"ES-ISCED IV",41,"7th decile",3,5,4,8,9,8,3
10230,"Distrikt 1","male",56,"ES-ISCED IV",39,"7th decile",2,5,5,6,5,3,3
10231,"Distrikt 1","female",58,"ES-ISCED IV",28,"6th decile",8,7,5,7,5,3,7
10232,"Distrikt 1","female",64,"ES-ISCED III",33,"4th decile",7,6,3,5,7,5,7
10233,"Distrikt 1","male",90,"ES-ISCED II",33,"6th decile",3,4,5,1,3,5,6
10234,"Distrikt 1","female",39,"ES-ISCED V",34,"6th decile",8,6,3,5,8,4,4
10235,"Distrikt 1","female",61,"ES-ISCED IV",44,"5th decile",3,4,5,5,6,6,4
10236,"Distrikt 1","male",60,"ES-ISCED IV",52,"6th decile",4,5,2,4,3,2,6
10237,"Distrikt 1","male",58,"ES-ISCED V",37,"8th decile",8,6,4,5,3,4,6
10238,"Distrikt 1","female",67,"ES-ISCED III",37,"4th decile",0,1,6,7,6,6,7
10239,"Distrikt 1","male",71,"ES-ISCED II",24,"6th decile",9,9,6,7,6,0,6
10240,"Distrikt 1","male",61,"ES-ISCED III",25,"9th decile",7,7,4,4,6,0,5
10241,"Distrikt 1","male",75,"ES-ISCED II",39,"5th decile",0,2,3,5,6,4,8
10242,"Distrikt 1","male",54,"ES-ISCED III",28,"8th decile",9,7,1,3,3,4,4
10243,"Distrikt 1","male",56,"ES-ISCED III",36,"6th decile",4,7,6,7,9,5,3
10244,"Distrikt 1","male",41,"ES-ISCED III",36,"6th decile",1,4,3,6,4,5,5
10245,"Distrikt 1","male",61,"ES-ISCED IV",31,"8th decile",5,6,4,4,4,5,3
10246,"Distrikt 1","female",27,"ES-ISCED V",31,"6th decile",4,5,8,7,6,4,3
10247,"Distrikt 1","male",34,NA,30,"10th decile",7,7,2,6,6,3,7
10248,"Distrikt 1","male",46,"ES-ISCED II",19,"5th decile",1,4,8,7,7,8,6
10249,"Distrikt 1","male",63,"ES-ISCED II",42,"3rd decile",5,5,5,4,4,4,4
10250,"Distrikt 1","male",50,"ES-ISCED IV",24,"7th decile",5,6,5,4,4,5,6
10251,"Distrikt 1","female",67,"ES-ISCED II",42,"2nd decile",3,3,7,7,6,4,9
10252,"Distrikt 1","female",46,"ES-ISCED II",38,"3rd decile",5,5,6,8,7,1,6
10253,"Distrikt 1","female",43,"ES-ISCED V",43,"6th decile",6,6,5,4,4,6,2
10254,"Distrikt 1","female",59,"ES-ISCED IV",38,"3rd decile",6,4,6,7,4,5,7
10255,"Distrikt 1","male",61,"ES-ISCED III",24,"6th decile",3,0,4,4,7,3,6
10256,"Distrikt 1","male",73,"ES-ISCED III",39,"6th decile",4,4,8,5,4,7,7
10257,"Distrikt 1","male",56,"ES-ISCED V",18,"9th decile",5,2,6,5,7,4,6
10258,"Distrikt 1","female",66,"ES-ISCED IV",15,"6th decile",6,4,5,6,6,5,3
10259,"Distrikt 1","female",59,"ES-ISCED IV",40,"5th decile",5,4,7,6,0,9,5
10260,"Distrikt 1","female",54,"ES-ISCED IV",29,"5th decile",8,8,2,6,7,4,6
10261,"Distrikt 1","female",61,"ES-ISCED III",26,"5th decile",5,6,4,5,8,2,5
10262,"Distrikt 1","male",65,"ES-ISCED III",47,"6th decile",4,5,7,6,6,7,7
10263,"Distrikt 1","male",70,"ES-ISCED III",21,"8th decile",4,6,0,4,6,4,2
10264,"Distrikt 1","female",52,"ES-ISCED IV",21,"5th decile",4,4,5,2,5,6,5
10265,"Distrikt 1","female",74,"ES-ISCED III",21,"5th decile",7,6,6,5,5,6,5
10266,"Distrikt 1","male",48,"ES-ISCED IV",36,"7th decile",6,6,1,6,6,9,4
10267,"Distrikt 1","male",49,"ES-ISCED III",36,"6th decile",2,5,0,3,4,6,3
10268,"Distrikt 1","male",35,"ES-ISCED IV",37,"6th decile",4,5,6,6,5,9,3
10269,"Distrikt 1","male",52,"ES-ISCED II",23,"5th decile",3,4,5,5,7,5,4
10270,"Distrikt 1","male",70,"ES-ISCED III",53,"6th decile",1,4,3,7,6,7,8
10271,"Distrikt 1","female",42,"ES-ISCED IV",14,"5th decile",4,7,8,6,4,4,5
10272,"Distrikt 1","female",58,"ES-ISCED III",36,"4th decile",8,8,4,2,7,4,6
10273,"Distrikt 1","male",60,"ES-ISCED IV",35,"10th decile",5,5,5,7,8,3,5
10274,"Distrikt 1","male",64,"ES-ISCED III",34,"7th decile",4,5,4,7,3,10,2
10275,"Distrikt 1","female",66,"ES-ISCED V",34,"5th decile",6,5,4,4,6,5,10
10276,"Distrikt 1","male",68,"ES-ISCED III",31,"6th decile",7,5,0,0,2,4,7
10277,"Distrikt 1","female",45,"ES-ISCED IV",21,"6th decile",5,7,6,7,7,7,3
10278,"Distrikt 1","female",59,"ES-ISCED IV",39,"5th decile",2,5,7,6,5,9,5
10279,"Distrikt 1","female",31,"ES-ISCED V",36,"5th decile",6,7,5,4,3,4,5
10280,"Distrikt 1","male",71,"ES-ISCED III",39,"7th decile",2,4,4,7,10,4,7
10281,"Distrikt 1","female",65,"ES-ISCED III",28,"4th decile",3,4,3,5,6,0,5
10282,"Distrikt 1","female",72,"ES-ISCED III",48,"4th decile",8,8,6,6,5,6,7
10283,"Distrikt 1","female",31,NA,22,"7th decile",8,6,5,5,6,3,6
10284,"Distrikt 1","male",55,"ES-ISCED IV",30,"7th decile",6,6,2,5,6,6,8
10285,"Distrikt 1","female",46,"ES-ISCED III",37,"3rd decile",3,3,4,1,5,5,4
10286,"Distrikt 1","female",59,"ES-ISCED IV",32,"6th decile",7,7,3,3,4,5,7
